isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments
16415,1,1000878,39.0,4.0,19881012,E,147301/02,78,WALL ST,1P525,"(21-24)RESHACKLE ,TAG AND DATE",V*101288E147301/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890801.0,088-75
16426,1,1000878,39.0,4.0,19881012,E,147301/03,78,WALL ST,1P526,(21-24)RESHACKLE TAG AND DATE 51)PROPERLY 211GH CABLE ON DRUM,V*101288E147301/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890801.0,088-75
12483,1,1000879,39.0,6.0,19870811,E,132241,160,PEARL STREET,,,V*081187E132241,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881117.0,
4809,1,1000884,39.0,1123.0,19880822,E,132234/1,79,PINE ST,1P317,FILE WITH THIS DEPT. FOR ILLEGAL REMOVED OF ELEV,V*082288E132234/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890701.0,111-75
16399,1,1001003,40.0,1.0,19881012,E,147304/04,72,WALL STREET,1P15364,51)PROVIDE LADDER TO SECONDARY SHEAVE ROOM 21)ROOGE,V*101288E147304/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900115.0,111-75
16404,1,1001003,40.0,7501.0,19881012,E,147301/05,72,WALL STREET,1P15365,51)PROVIDE LADDER TO SECONDARY SHEAVE ROOM,V*101288E147301/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890814.0,111-75
24362,1,1001005,40.0,14.0,19881220,E,144924/01,48,WALL ST,1P16641,51)LABLE PIT DOORS & EQUIPTMENT 52)PROVIDE CAPACITY PLATE                       53)REMOVE OLD GOVERNOR FROM SECONDARY 54)PROVIDE NO SMOKING SIGN IN             ELEVATOR,V*122088E144924/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890731.0,
24354,1,1001005,40.0,14.0,19881220,E,144924/02,48,WALL ST,1P16643,51)REPAIR OR RENOW CWT GOVERNOR SHEAVE IN PIT 52)PROVIDE PROPER                 CLEARANCE BETWEEN CWT & BUFFER 53)PROVIDE CAPACITY PLATE 54)PROVIDE             NO SMOKING SIGN,V*122088E144924/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890731.0,
24351,1,1001005,40.0,14.0,19881220,E,144924/03,48,WALL ST,1P16645,51)RESTORE ELEVATOR TO PROPERLY WORKING ORDER SO A COMPLETE                     INSPECTION CAN BE PERFORMED BY THIS DEPARTMENT,V*122088E144924/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900222.0,
24341,1,1001005,40.0,14.0,19881220,E,144924/06,48,WALL ST,1P16648,51)REMOVE OLD EQUIPTMENT (GOVERNOR )FROM SECONDARY 52)PROVIDE                   CAPCITY PLATE 53)PROVIDE NO SMOKE SIGN 54)LABLE ALL DOORS  AND                  EQUIPTMENT,V*122088E144924/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900222.0,
24337,1,1001005,40.0,14.0,19881220,E,144924/07,48,WALL ST,1P16649,51) PROVIDE CAPACITY PLATE,V*122088E144924/07,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900222.0,
24347,1,1001005,40.0,14.0,19881220,E,144924/04,48,WALL ST,1P16646,51)RESTORE ELEVATOR TO PROPER WORKING ORDER SO A COMPLETE                       INSPECTION MAY BE PERFORMED BY THIS DEPARTMENT,V*122088E144924/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910408.0,
24346,1,1001005,40.0,14.0,19881220,E,144924/05,48,WALL ST,1P16647,51)REMOVE OLD EQUIPTMENT (GOVERNOR)FROM SECONDARY 52)PROVIDE                    CAPACITY PLATE 53)PROVIDE NO SMOKING SIGN IN CAB 54)LABLE ALL PIT DOOR          AND EQUIPTMENT,V*122088E144924/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910408.0,
24258,1,1001005,40.0,14.0,19881221,E,144924/02,48,WALL ST,1P16653,15)SECURE,V*122188E144924/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890801.0,
24247,1,1001005,40.0,14.0,19881221,E,144924/01,48,WALL ST,1P16650,51)REMOVE JUMPER FROM RESTORE ON BACK CONTROLLER,V*122188E144924/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900222.0,
4802,1,1001009,41.0,19.0,19880819,E,132231/2,56,PINE ST,1P573,(51)PROPERLY SECURE ALL RELAYS AND CONTACT BACK OF CONTROLLER                   AND REMOVE ALL JUMPERS (52) PROPERLY COVER ALL ELECTRICAL BOXES                 ALL ELECTRICAL BOXES IN MOTOR ROOM,V*081988E132231/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890112.0,039-74
4807,1,1001009,41.0,19.0,19880819,E,132234/3,56,PINE ST,1P574,(51) PROPERLY SECURE ALL RELAYS AND CONTACTS BACK OF CONTROLLER                 AND REMOVE ALL JUMPERS (52)PROPERLY COVER ALL ELECTRICAL BOXES IN               MOTOR ROOM,V*081988E132234/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890112.0,039-74
4808,1,1001009,41.0,19.0,19880819,E,132234/4,56,PINE ST,1P575,"(51) PROPERLY SECURE ALL RELAYS AND CONTACTS, BACK OF CONTROLLER                AND REMOVE ALL JUMPERS. (52) PROPERLY COVER ALL ELECTRICAL BOXES                IN MOTOR ROOM",V*081988E132234/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890112.0,039-74
4812,1,1001010,41.0,7502.0,19880819,E,132234/1,54,PINE ST,1P572,"(39) REMOVE ALL NON ELEV. LOOKS, REPLACE ALL MISSING DOOR ROLLERS                (51)PROVIDE LIGHT IN OVERHEAD (52) REPAIR SAFETY EDGE",V*081988E132234/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910415.0,
745,1,1001011,41.0,21.0,19880725,E,110634/3,50,PINE ST,1P571,(51)REPLACE BROKEN WINDOW IN MOTOR ROOM.(52)REPAIR / RENEW                      GREENFIELD BASEMENT INTERLOCK,V*072588E110634/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890317.0,303-83
748,1,1001011,41.0,21.0,19880725,E,110634/1,50,PINE ST,1P569,(51)REPAIR / RENEW DIRECTION OF LIGHTS.(52)REPAIR / RENEW PHOTO                 EYE.(12)REPAIR / RENEW EMERGENCY STOP SWITCH,V*072588E110634/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891003.0,303-83
747,1,1001011,41.0,7501.0,19880725,E,110634/2,50,PINE ST,1P570,(51)REPAIR / RENEW DIRECTION LIGHTS.(52)REPAIR / RENEW PHOTO EYE,V*072588E110634/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890317.0,303-83
28364,1,1001013,41.0,24.0,19881202,E,1106,62,WILLIAM ST,1P435,(45)BED PLATE (51)PROPERLY TAG GOVERNOR INDICATING 5 YEAR TEST,V*120288E1106,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890503.0,030-74
49369,1,1001013,41.0,24.0,19881202,E,144934-03,62,WILLIAM ST,1P434,(51)PROPERLY FUSE CONTROLLER (A.C. CONTROL). (52)REPAIR GRATING                 AROUND CABLES IN MOTOR ROOM.(53)PROPERLY TAG GOVERNOR INDICATING 5 YR           TEST,V*120288E144934-03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890503.0,030-74
8113,1,1001017,43.0,1.0,19880823,E,144934/8,44,WALL ST,1P13967,,V*082388E144934/8,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901206.0,
4846,1,1001017,43.0,1.0,19880825,E,144934/4,44,WALL ST,1P23759,,V*082588E144934/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890719.0,
7030,1,1001017,43.0,1.0,19880825,E,144934/1,44,WALL ST,1P13970,VIBRATION,V*082588E144934/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890929.0,102-75
7028,1,1001017,43.0,1.0,19880825,E,144934/2,44,WALL ST,1P23757,,V*082588E144934/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900209.0,102-75
7026,1,1001017,43.0,1.0,19880825,E,144934/3,44,WALL ST,1P23758,,V*082588E144934/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900209.0,102-75
3397,1,1001018,43.0,2.0,19880718,E,14731/1,40,WALL ST,1P18136,,V*071888E14731/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,DELETED BY VSI ON 10/24/89 BECAUSE ADDRESS CORRECTION
3395,1,1001018,43.0,2.0,19880719,E,14731/3,40,WALL ST,1P18152,,V*071988E14731/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,DELETED BY VSI ON 10/24/89 BECAUSE ADDRESS CORRECTION
3384,1,1001018,43.0,2.0,19880720,E,14731/1,40,WALL ST,1P18118,"(51)REPAIR ELEVATOR VESTIBUE TO FLOOR ON ""B-M"" LEVEL AT CAR                     ENTRANCE (TRIPPING HAZZARD)-(CROWN WEAR)",V072088E14731/1,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,DELETED BY VSI ON 10/24/89 BECAUSE ADDRESS CORRECTION
3402,1,1001018,43.0,2.0,19880720,E,14731/2,40,WALL ST,1P18116,(51)RESTORE TO OPERATION OR FILE BUILDING NOTICE & PROPERLY                     DISMANTLE OR REMOVE,V072088E14731/2,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,DELETED BY VSI ON 10/24/89 BECAUSE ADDRESS CORRECTION
3400,1,1001018,43.0,2.0,19880721,E,14731/1,40,WALL ST,1P19264,(51)PROVIDE VOICE COMMUNICATION IN CAB. (52)RESTORE VENT FAN TO                 PROPER OPERATION IN CAB,V*072188E14731/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890501.0,DELETED BY VSI ON 10/24/89 BECAUSE ADDRESS CORRECTION
18828,1,1001023,46.0,1.0,19881018,E,1391 F/09,2,WALL STREET,1P19737,51)CLEAN INSTALLATION 53)TAG GOVERNOR AFTER 5YRS SAFETY TEST                    52)POST ELEV CO NAME 1W MOTOR ROOM,V*101888E1391 F/09,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890113.0,111-75
18836,1,1001023,46.0,1.0,19881018,E,1391F/07,2,WALL STREET,1P19735,51)CLEAN INSTALLION 52)TAG GOVERNOR AFTER 5YRS SAFETY TEST,V*101888E1391F/07,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890116.0,111-75
18841,1,1001023,46.0,1.0,19881018,E,1391F/05,2,WALL STREET,1P19733,51)CLEAN INSTALLION 52)POST ELEV CO NAME 1W MOTOR RM 53)TAG AFTER               GOVERNOR AFTER 5YRS SAFETY TEST,V*101888E1391F/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890123.0,111-75
18838,1,1001023,46.0,1.0,19881018,E,1391F/06,2,WALL STREET,1P19734,51)CLEAN INTALLATION 52)TAG GOVERNOR AFTER 5YRS SAFETY TEST,V*101888E1391F/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890123.0,111-75
18830,1,1001023,46.0,1.0,19881018,E,1391F/08,2,WALL STREET,1P19736,51)CLEAN INSTALLATION 52)TAG GOVERNOR AFTER 5YRS SAFETY TEST,V*101888E1391F/08,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890210.0,111-75
20888,1,1001023,46.0,1.0,19881019,E,1391F/03,2,WALL STREET,1P19739,51)CLEAN INSTALLATION 52)TAG GOVERNOR AFTER 5YRS SAFETY TEST                    53)PROVIDE CLEAN CAPACITY PLATE,V*101988E1391F/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890208.0,111-75
20875,1,1001023,46.0,1.0,19881019,E,1391F/01,2,WALL STREET,1P19738,51)PROVIDE ELEV CO NAME IN MOTORROOM 52)CLEAN INSTALLATION                      53)PROVIDE CAB CAPACITY PLATE 54)TAG ELEVATOR AFTER 5YRS SAFETY TEST,V*101988E1391F/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890209.0,111-75
39745,1,1001023,46.0,1.0,19881019,E,1391F/2,2,WALL STREET,1P19740,(51)POST ELEV.CO'S NAME IN MOTOR ROOM (52)CLEAN INSTALLATION                    (53)TAG GOVERNOR AFTER 5YR SAFETY TEST (54)PROVIDE CAB CAPACITY PLATE,V*101988E1391F/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890626.0,111-75
39726,1,1001023,46.0,1.0,19881019,E,1391F/4,2,WALL STREET,1P19741,(51)PROVIDE CAB CAPACITY PLATE (52)CLEAN INSTALLATION (53)TAG                   GOVERNOR AFTER 5YR SAFETY TEST,V*101988E1391F/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890626.0,111-75
27368,1,1001024,46.0,3.0,19881205,E,1196A\1,96,BROADWAY,1P693,,V*120588E1196A\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890505.0,030-74
27356,1,1001024,46.0,3.0,19881205,E,1196A\2,96,BROADWAY,1P889,(01)REMOVE JUMPERS FROM CONTROLLER AND REPAIR TERMINAL BLOCK ON                 CONTROLLER OVER M.G,V*120588E1196A\2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890505.0,030-74
27362,1,1001024,46.0,3.0,19881206,E,1196A\1,96,BROADWAY,1P31676,(51)REPAIR SAFETY EDGE (FRONT RIGHT SIDE TO PROPER WORKING ORDER,V*120688E1196A\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890505.0,030-74
4864,1,1001025,46.0,9.0,19880810,E,144934/2,10,WALL ST,1P467,(51) RESTORE LIGHT SYSTEM AT MACHINE LEVEL. (52) PROVIDE                        PROTECTIVE GUARD OVER CAB LIGHT,V*081088E144934/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900227.0,
4862,1,1001025,46.0,9.0,19880811,E,144934/3,10,WALL ST,1P472,,V*081188E144934/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890215.0,303-83
4866,1,1001025,46.0,9.0,19880811,E,144934/1,10,WALL ST,1P468,(51) PROVIDE PROTECTIVE GUARD OVER CAB LIGHT,V*081188E144934/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890705.0,
73533,1,1001025,46.0,9.0,19880811,E,144934/02,10,WALL ST,1P471,(51)PROVIDE LIGHT ABOVE GENERATOR,V*081188E144934/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900227.0,
11216,1,1001025,46.0,9.0,19880812,E,144934/1,10,WALL ST,1P19575,ELIMINATE OIL LEAK FROM SECONDARY SHEAVE BEARING,V*081288E144934/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890103.0,303-83
11212,1,1001025,46.0,9.0,19880815,E,144934/1,10,WALL ST,1P19576,RESTORE PHOTO EYE SYSTEM TO PROPER WORKING ORDER ON CAB DOOR,V*081588E144934/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890103.0,303-83
11204,1,1001025,46.0,9.0,19880815,E,144934/4,10,WALL ST,1P19582,(51) RESTORE PHOTO EYE SYSTEM TO PROPER WORKING ORDER ON CAB DOOR,V*081588E144934/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890103.0,303-83
11210,1,1001025,46.0,9.0,19880815,E,144934/3,10,WALL ST,1P19581,(51) RESTORE ELEV. TO PROPER WORKING ORDER SO A COMPLETE INSPECTI               ON CAN BE MADE BY AN INSPECTOR OF THIS DEPT,V*081588E144934/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890120.0,
11211,1,1001025,46.0,9.0,19880815,E,144934/2,10,WALL ST,1P19577,(51) ELIMINATE OIL LEAK FROM BEARING OF SECONDARY SHEAVE                        (52) RESTORE PHOTO EYE SYSTEM TO PROPER WORKING ORDER ON CAB DOOR,V*081588E144934/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900224.0,
11215,1,1001025,46.0,9.0,19880816,E,144934/1,10,WALL ST,1P19587,ELIMINATE ASKING OF SENERATOR BRUSHER,V*081688E144934/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890104.0,303-83
11214,1,1001025,46.0,9.0,19880816,E,144934/2,10,WALL ST,1P19588,,V*081688E144934/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900226.0,
11213,1,1001025,46.0,9.0,19880816,E,144934/3,10,WALL ST,1P19590,,V*081688E144934/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920518.0,
47965,1,1001026,47.0,1.0,19881118,E,1196A/2,108,BROADWAY,1P723,(51) PROPERLY DATE AND TAG THE GOVERNOR FOR 5YR SAFETY TEST,V*111888E1196A/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890705.0,
47961,1,1001026,47.0,1.0,19881118,E,1196A/3,108,BROADWAY,1P724,(51) PROPERLY DATE AND TAG THE GOVERNOR FOR 5YR SAFETY TEST,V*111888E1196A/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890705.0,
47966,1,1001026,47.0,1.0,19881118,E,1196A/5,108,BROADWAY,1P730,(51) PROPERLY DATE AND TAG GOVERNOR FOR 5 YR SAFETY TEST,V*111888E1196A/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890706.0,
27722,1,1001026,47.0,1.0,19881118,E,1196A\4,108,BROADWAY,1P725,(51)PROPERLY DATE AND TAG THE GOVERNOR FOR 5 YR TEST,V*111888E1196A\4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890706.0,
31526,1,1001026,47.0,1.0,19881122,E,1196A/1,108,BROADWAY,1P760,,V*112288E1196A/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891121.0,056-74
31528,1,1001026,47.0,1.0,19881122,E,1196A/3,108,BROADWAY,1P762,,V*112288E1196A/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891121.0,056-74
23126,1,1001026,47.0,1.0,19881123,E,1196A-2,108,BROADWAY,1P770,(51)  RENEW BEARING ON THE MAIN MACHINE                                              (46)  REPAIR FALLING PLASTER IN HOISTWAY WERE NECESSARY,V*112388E1196A-2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890701.0,056-74
23119,1,1001026,47.0,1.0,19881123,E,1196A-1,108,BROADWAY,1P767,,V*112388E1196A-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891121.0,056-74
29790,1,1001026,47.0,1.0,19881125,E,1196A\1,108,BROADWAY,1P448,(51)PROPERLY DATE AND TAG THE GOVERNOR FOR 5 YR TEST,V112588E1196A\1,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,DELETED BY SCL ON 03/08/90 BECAUSE DUPLICATION
22785,1,1001026,47.0,1.0,19881125,E,1196A-1,108,BROADWAY,1P448,(51)  PROPERLY DATE AND TAG GOVERNOR FOR 5YR TEST,V*112588E1196A-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890706.0,056-74
22780,1,1001026,47.0,1.0,19881125,E,1196A-2,108,BROADWAY,1F142,(51)  PROPERLY DATE AND TAG GOVERNOR FOR 5 YRS,V*112588E1196A-2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890706.0,056-74
32138,1,1001029,49.0,2.0,19881202,E,1196A-1,111,BROADWAY,1P695,"(47)  REPAIR MOTOR ROOM DOOR AND PROVIDE LIGHT IN MOTOR ROOM,                   CLEAN DEEP OIL FROM MOTOR ROOM FLOOR                                            (51)  PROPERLY.DATE AND TAG GOVENOR FOR 5 YR TEST",V*120288E1196A-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890403.0,303-83
32140,1,1001029,49.0,2.0,19881202,E,1196,111,BROADWAY,1P695,(21)  RESHACKLE HOIST AND DRUM COUNTER WEIGHT CABLES AND TAG KEY                     (03)  REPLACE CRACKED VISION PANELS WITH PROTECTIVE GLASS WHERE                       NECESSARY,V*120288E1196,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890830.0,
26859,1,1001030,50.0,1.0,19881130,E,1196-1,115,BROADWAY,1P712,(51)  PROPERLY DATE AND TAG GOVENOR FOR 5YR TEST,V*113088E1196-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890607.0,303-83
23768,1,1001031,51.0,1.0,19881128,E,144935/01,2,RECTOR ST,1F149,51)RESTORE TO SERVICE SO COMPLETE INSPECTION CAN BE MADE BY THIS                DEPARTMENT,V*112888E144935/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890808.0,030-74
55126,1,1001031,51.0,1.0,19880912,C,A2LB02,91,GREENWICH STREET,,,V*091288CA2LB02,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19890830.0,
15153,1,1001032,51.0,17.0,19880926,E,1156A/1,109,GREENWICH ST,1P15800,(51)PROVIDE DRIKEN DEVICE BASEMENT HATCH DOOR                                   (52)PROVIDE PIT LADDER (MOUNTED IN PIT)                                         (53)PROPERTY SECURE WIC TO SUB- BASEMENT INTERLOCK,V*092688E1156A/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920528.0,
15928,1,1001040,52.0,21.0,19880929,E,1156A\1,120,LIBERTY ST,1P622,(51)PROPERLY TAG GOV TO SHOW 5 YR TEST (52)PROVIDE ADDITIONAL                   MIRROR OPPOAITE MIRROR IN CAR,V*092988E1156A\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910904.0,
15698,1,1001040,52.0,21.0,19880929,E,1156A\2,120,LIBERTY ST,1P623,(51)PROPERLY TAG GOVERNOR  TO SHOW SAFTEY TEST,V*092988E1156A\2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910904.0,
15937,1,1001040,52.0,21.0,19880929,E,1156A\3,120,LIBERTY ST,1S94,(51)SIDEWALK #94 RESTORE SIDEWALK TO SERVICE OR FILE WITH THIS                  DEPT AND OBTAIN A PERMIT TO DISMANTLE OR REMOVE SAME,V*092988E1156A\3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910904.0,
173683,1,1001042,52.0,16.0,19700423,C,2412-70,113,CEDAR STREET,,,V*042370C2412-70,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19721016.0,
173402,1,1001042,52.0,16.0,19771205,C,01H4,112,LIBERTY STREET,,,V*120577C01H4,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19850508.0,
173183,1,1001042,52.0,16.0,19771205,C,01KK4,113,CEDAR STREET,,,V*120577C01KK4,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,20051028.0,
173187,1,1001042,52.0,16.0,19791231,E,1320A1,113,CEDAR STREET,,,V*123179E1320A1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,20080616.0,CIABNC ADM.DISM. DUE TO CURRENT 2 YEAR TEST    1P40133 082806
173199,1,1001042,52.0,16.0,19870909,E,144911,113,CEDAR STREET,,,V*090987E144911,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,20080616.0,CIABNC ADM.DISM. DUE TO CURRENT 2 YEAR TEST    1P40133 082806
173205,1,1001042,52.0,16.0,19871026,LL16,NRF06089,113,CEDAR STREET,,,V*102687LL16NRF06089,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL,19881017.0,
173189,1,1001042,52.0,16.0,19840217,LL10/81,SS000080,113,CEDAR STREET,,,V*021784LL10/81SS000080,V*-DOB VIOLATION - DISMISSED,LL10/81-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,19950419.0,LL1081 VACANT
173196,1,1001042,52.0,16.0,19850816,LL10/81,SS00037,113,CEDAR STREET,,,V*081685LL10/81SS00037,V*-DOB VIOLATION - DISMISSED,LL10/81-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,19950419.0,LL1081 VACANT
173197,1,1001042,52.0,16.0,19861114,LL10/81,SS00047,113,CEDAR STREET,,,V*111486LL10/81SS00047,V*-DOB VIOLATION - DISMISSED,LL10/81-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,19950419.0,LL1081 VCANT
173198,1,1001042,52.0,16.0,19870508,LL10/81,SS00041,113,CEDAR STREET,,,V*050887LL10/81SS00041,V*-DOB VIOLATION - DISMISSED,LL10/81-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,19950419.0,LL1081 VACANT
173200,1,1001042,52.0,16.0,19880129,LL10/81,SS00037,113,CEDAR STREET,,,V*012988LL10/81SS00037,V*-DOB VIOLATION - DISMISSED,LL10/81-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,19950419.0,LL1081 VACANT
173400,1,1001042,52.0,16.0,19880428,ES,STA05W,112,LIBERTY STREET,,,V*042888ESSTA05W,V*-DOB VIOLATION - DISMISSED,ES-ELECTRIC SIGNS                                                  NONE,19980313.0,
173401,1,1001042,52.0,16.0,19880428,ES,STA06W,112,LIBERTY STREET,,,V*042888ESSTA06W,V*-DOB VIOLATION - DISMISSED,ES-ELECTRIC SIGNS                                                  NONE,19980313.0,
